Igbo,English
dị ka,as
m,I
ya,his
na,that
enye,he
bụ,was
n’ihi na,for
ụfọdụ,on
ma ọ bụrụ na,are
ọrụ,with
ha,they
ịbụ,be
na,at
otu,one
nwere,have
a,this
si,from
site,by
na-ekpo ọkụ,hot
okwu,word
ma,but
ihe,what
ụfọdụ,some
bụ,is
ya,it
ị,you
ma ọ bụ,or
nwere,had
na,the
nke,of
na-,to
na,and
a,a
na,in
anyị,we
ike,can
si,out
ọzọ,other
ndị,were
nke,which
eme,do
ha,their
oge,time
ma ọ bụrụ na,if
ekpe,will
otú,how
kwuru,said
ihe,an
ọ bụla,each
ịgwa,tell
ke,does
set,set
atọ,three
chọrọ,want
ikuku,air
ọma,well
na-,also
igwu egwu,play
obere,small
njedebe,end
tinye,put
n’ụlọ,home
na-agụ,read
aka,hand
ọdụ ụgbọ mmiri,port
nnukwu,large
asụpe,spell
tinye,add
ọbụna,even
ala,land
ebe a,here
ana,must
nnukwu,big
elu,high
dị,such
na-eso,follow
eme,act
ya mere,why
ịjụ,ask
ndị ikom,men
mgbanwe,change
wee,went
ìhè,light
ụdị,kind
anya,off
mkpa,need
ụlọ,house
foto,picture
na-agbalị,try
anyị,us
ọzọ,again
anụmanụ,animal
ebe,point
nne,mother
ụwa,world
nso,near
ewu,build
onwe,self
ụwa,earth
nna,father
ọ bụla,any